founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2002,0,5,3019,1470,0,1195909,77,18898367,4,1930,386,24500000,1549,387,6125000,1,MD,01.01.2002,software,4,15
2003,0,2,2342,979,1,17375930,73,17375930,3,1604,802,23500000,1363,454,7833333,1,VA,01.03.2003,mobile,3,11
2000,0,1,2305,2075,0,5127604,65,9922396,2,0,0,15050000,230,115,7525000,1,MA,01.01.2000,software,2,4
2005,0,3,1909,123,0,6665323,33,17904943,4,565,188,53000000,1786,446,13250000,1,CA,01.07.2005,analytics,4,13
2004,0,8,2465,355,1,41735026,92,41735026,4,1426,178,45000000,2110,527,11250000,1,CA,11.10.2004,news,4,57
2004,0,3,1430,731,1,41626876,92,41626876,3,809,269,45000000,699,233,15000000,0,NY,01.01.2004,games_video,1,8
2009,1,2,849,398,1,837646,69,837646,2,679,339,1200000,451,225,600000,1,NY,04.04.2009,mobile,6,8
2001,1,1,1946,592,1,9057761,90,9057761,2,0,0,10000000,1354,677,5000000,1,CA,01.10.2001,semiconductor,3,5
2007,1,2,513,411,1,191388,95,191388,2,221,110,200000,102,51,100000,0,PA,17.10.2007,games_video,2,3
2009,1,3,570,570,1,750000,100,750000,1,193,64,750000,0,0,750000,1,CA,01.02.2009,analytics,9,6
2001,1,1,2299,2299,1,15000000,100,15000000,1,0,0,15000000,0,0,15000000,1,CA,01.01.2001,biotech,3,9
2005,0,3,1731,337,1,16239008,65,16239008,7,2590,863,24900000,1394,199,3557142,1,CA,01.06.2005,music,3,12
2002,0,3,2702,2702,1,8800000,100,8800000,1,1633,544,8800000,0,0,8800000,1,CA,01.01.2002,security,5,15
2011,0,2,378,378,1,1000000,100,1000000,1,378,189,1000000,0,0,1000000,0,IL,01.08.2011,web,1,2
2008,1,3,1261,0,1,33495077,93,33495077,4,712,237,36000000,1261,315,9000000,1,CA,01.01.2008,software,3,9
1995,0,1,3971,3971,1,1000000,100,1000000,1,0,0,1000000,0,0,1000000,0,CA,01.01.1995,hardware,1,3
2006,0,1,2024,334,0,34832206,52,38167794,2,0,0,73000000,1690,845,36500000,1,CA,01.01.2006,biotech,3,9
2003,0,3,1356,1083,1,39134971,92,39134971,2,499,166,42500000,273,136,21250000,1,TX,01.01.2003,public_relations,5,16
2011,0,1,100,47,0,3205,70,7795,2,0,0,11000,53,26,5500,0,NY,01.03.2011,web,1,5
2003,0,1,3408,1657,0,1303720,93,17696280,2,0,0,19000000,1751,875,9500000,0,MA,01.01.2003,software,3,2
2009,1,3,579,31,1,3966469,69,3966469,2,688,229,5700000,548,274,2850000,1,CA,01.08.2009,enterprise,4,5
2007,1,5,306,30,0,1696437,62,2803563,2,1527,305,4500000,276,138,2250000,0,CA,01.04.2007,games_video,1,4
2007,1,2,1562,1127,0,729241,63,1270759,2,377,188,2000000,435,217,1000000,1,CA,01.01.2007,software,8,7
2007,1,2,1173,1173,1,2700000,100,2700000,1,591,295,2700000,0,0,2700000,1,NY,01.01.2007,games_video,2,5
2001,1,3,1682,942,0,2294864,67,4805136,2,3519,1173,7100000,740,370,3550000,1,CA,01.01.2001,web,1,3
2011,0,3,434,254,0,920633,84,5079367,2,716,238,6000000,180,90,3000000,1,MA,01.02.2011,mobile,6,5
2007,1,2,603,213,0,164602,69,375398,2,1325,662,540000,390,195,270000,1,NY,01.10.2007,web,2,6
2007,1,3,1340,608,0,1472661,63,2527339,2,2,0,4000000,732,366,2000000,1,MA,04.06.2007,web,3,12
2010,0,2,304,304,1,154000,100,154000,1,495,247,154000,0,0,154000,0,CA,01.10.2010,real_estate,1,5
2000,0,1,3631,2742,1,33157858,64,33157858,5,0,0,51450000,889,177,10290000,1,CA,01.01.2000,games_video,5,3
2009,1,3,286,71,1,2279242,97,2279242,4,428,142,2345000,215,53,586250,1,MA,31.03.2009,enterprise,5,13
2008,1,2,1207,797,0,878410,56,1121590,2,298,149,2000000,410,205,1000000,1,CA,11.04.2008,web,1,6
2006,0,2,684,457,1,1382068,53,1382068,3,138,69,2600000,227,75,866666,1,CA,01.03.2006,network_hosting,3,13
2008,1,3,671,31,0,529796,68,7929863,3,336,112,11500000,640,213,3833333,1,CA,01.01.2008,enterprise,1,3
2010,0,2,834,260,0,817477,84,4382523,2,121,60,5200000,574,287,2600000,0,CA,01.09.2010,photo_video,1,5
